tweet_id,retweet_count,favorite_count
892420643555336193,7579,35813
892177421306343426,5616,30918
891815181378084864,3719,23258
891689557279858688,7763,39076
891327558926688256,8353,37328
891087950875897856,2804,18814
890971913173991426,1823,10929
890729181411237888,16947,60315
890609185150312448,3857,25894
890240255349198849,6597,29571
890006608113172480,6582,28463
889880896479866881,4479,25901
889665388333682689,8977,44580
889638837579907072,4026,25085
889531135344209921,2027,14063
889278841981685760,4793,23354
888917238123831296,4035,27000
888804989199671297,3803,23699
888554962724278272,3117,18299
888078434458587136,3121,20227
887705289381826560,4853,28106
887517139158093824,10591,43048
887473957103951883,16170,63766
887343217045368832,9425,31260
887101392804085760,5363,28427
886983233522544640,6882,32360
886736880519319552,2879,11101
886680336477933568,4019,20868
886366144734445568,2846,19611
886267009285017600,4,111
886258384151887873,5682,25981
886054160059072513,100,0
885984800019947520,6043,30228
885528943205470208,5743,33366
885518971528720385,3363,18992
885311592912609280,16624,0
885167619883638784,3921,20309
884925521741709313,16216,71442
884876753390489601,5015,25812
884562892145688576,4227,22574
884441805382717440,5122,25155
884247878851493888,18255,67307
884162670584377345,2689,18937
883838122936631299,3084,20282
883482846933004288,8881,42504
883360690899218434,3326,21053
883117836046086144,5980,34439
882992080364220416,3496,22161
882762694511734784,4390,26226
882627270321602560,5461,25989
882268110199369728,10419,41584
882045870035918850,4388,27230
881906580714921986,3062,22593
881666595344535552,9595,47042
881633300179243008,7,115
881536004380872706,14389,45921
881268444196462592,4757,21595
880935762899988482,2516,15885
880872448815771648,3447,19771
880465832366813184,5584,26429
880221127280381952,3749,25058
880095782870896641,3909,25657
879862464715927552,3133,20769
879674319642796034,10,294
879492040517615616,2874,21823
879415818425184262,40069,98261
879376492567855104,2820,15619
879130579576475649,6133,0
879050749262655488,4237,20952
879008229531029506,2416,17674
878776093423087618,3687,18006
878604707211726852,6378,27993
878404777348136964,1159,0
878316110768087041,5984,0
878281511006478336,1159,7189
878057613040115712,6133,39131
877736472329191424,17082,73677
877611172832227328,72,0
877556246731214848,3436,21101
877316821321428993,4689,25505
877201837425926144,5026,25215
876838120628539392,3016,19249
876537666061221889,4236,22057
876484053909872640,2136,17493
876120275196170240,4218,26061
875747767867523072,3867,23409
875144289856114688,4436,20437
875097192612077568,5495,25570
875021211251597312,4265,23753
874680097055178752,4193,25920
874434818259525634,13146,0
874296783580663808,3729,24274
874057562936811520,3611,21199
874012996292530176,9258,31923
